,Student ID,Gender,Student's Avg Score,Passed Subjects
2408,345,Female,80.9,4.0
2415,346,Female,79.1,4.0
2422,347,Female,80.7,6.0
2429,348,Female,77.3,3.0
2436,349,Male,76.4,3.0
2443,350,Male,85.7,5.0
2450,351,Male,81.9,5.0
2457,352,Male,77.7,5.0
2464,353,Female,83.4,5.0
2471,354,Female,75.0,5.0
2478,355,Non-binary,75.1,3.0
2485,356,Female,73.1,3.0
2492,357,Male,79.1,4.0
2499,358,Female,85.9,5.0
2506,359,Male,69.0,1.0
2513,360,Male,81.4,4.0
2520,361,Male,79.7,4.0
2527,362,Polygender,74.3,3.0
2534,363,Female,82.9,4.0
2541,364,Male,74.4,2.0
2548,365,Female,71.9,3.0
2555,366,Male,77.4,5.0
2562,367,Female,81.9,6.0
2569,368,Female,83.3,5.0
2576,369,Female,75.1,3.0
2583,370,Female,78.0,3.0
2590,371,Male,86.7,6.0
2597,372,Male,80.6,5.0
2604,373,Male,79.1,6.0
2611,374,Male,76.0,3.0
2618,375,Female,78.0,6.0
2625,376,Female,81.0,4.0
2632,377,Male,87.6,6.0
2639,378,Male,74.6,3.0
2646,379,Male,80.4,4.0
2653,380,Male,84.0,6.0
2660,381,Female,80.1,5.0
2667,382,Male,89.6,7.0
2674,383,Genderqueer,80.3,4.0
2681,384,Female,77.9,3.0
2688,385,Female,79.4,4.0
2695,386,Male,78.0,5.0
2702,387,Female,74.9,3.0
2709,388,Male,77.4,4.0
2716,389,Male,79.7,5.0
2723,390,Male,82.3,5.0
2730,391,Female,71.3,2.0
2737,392,Polygender,85.3,6.0
2744,393,Polygender,73.9,3.0
2751,394,Male,73.7,4.0
2758,395,Male,80.6,4.0
2765,396,Female,79.9,3.0
2772,397,Male,87.1,5.0
2779,398,Male,81.9,4.0
2786,399,Female,80.7,5.0
2793,400,Agender,79.4,3.0
2800,401,Female,78.4,4.0
2807,402,Male,80.4,5.0
2814,403,Male,77.9,3.0
2821,404,Female,75.6,3.0
2828,405,Male,81.6,5.0
2835,406,Female,81.6,5.0
2842,407,Male,82.3,5.0
2849,408,Female,80.7,5.0
2856,409,Male,79.9,5.0
2863,410,Male,80.3,3.0
2870,411,Female,84.1,6.0
2877,412,Male,83.6,6.0
2884,413,Female,81.0,4.0
2891,414,Female,70.4,1.0
2898,415,Female,76.3,3.0
2905,416,Female,76.3,3.0
2912,417,Male,79.4,4.0
2919,418,Female,81.9,6.0
2926,419,Male,78.3,5.0
2933,420,Female,79.4,4.0
2940,421,Male,68.7,2.0
2947,422,Male,77.7,4.0
2954,423,Male,77.0,3.0
2961,424,Female,79.4,4.0
2968,425,Male,78.9,5.0
2975,426,Female,83.7,4.0
2982,427,Female,80.4,5.0
2989,428,Female,71.7,3.0
2996,429,Female,74.1,4.0
3003,430,Male,80.6,4.0
3010,431,Male,77.6,3.0
3017,432,Male,81.9,5.0
3024,433,Agender,78.1,5.0
3031,434,Genderfluid,84.0,6.0
3038,435,Male,84.6,5.0
3045,436,Female,75.0,3.0
3052,437,Male,80.4,4.0
3059,438,Male,82.3,4.0
3066,439,Polygender,84.6,6.0
3073,440,Male,80.1,3.0
3080,441,Male,76.4,3.0
3087,442,Female,76.7,3.0
3094,443,Female,77.3,5.0
3101,444,Male,80.9,5.0
3108,445,Male,75.6,3.0
3115,446,Female,84.4,5.0
3122,447,Male,79.1,5.0
3129,448,Male,76.9,3.0
3136,449,Male,81.1,5.0
3143,450,Male,76.1,2.0
3150,451,Male,81.4,5.0
3157,452,Female,71.4,3.0
3164,453,Female,70.6,1.0
3171,454,Female,77.3,5.0
3178,455,Female,78.6,4.0
3185,456,Male,77.1,3.0
3192,457,Female,74.3,3.0
3199,458,Male,73.6,4.0
3206,459,Bigender,73.1,3.0
3213,460,Male,85.7,6.0
3220,461,Female,78.7,4.0
3227,462,Female,78.1,3.0
3234,463,Non-binary,75.1,4.0
3241,464,Male,87.1,6.0
3248,465,Male,86.0,5.0
3255,466,Male,86.1,7.0
3262,467,Female,70.0,1.0
3269,468,Male,79.1,4.0
3276,469,Female,78.0,3.0
3283,470,Female,80.9,4.0
3290,471,Female,81.0,5.0
3297,472,Male,80.6,5.0
3304,473,Male,81.9,5.0
3311,474,Female,76.9,3.0
3318,475,Female,85.1,5.0
3325,476,Male,80.1,5.0
3332,477,Male,82.9,6.0
3339,478,Female,80.1,6.0
3346,479,Male,73.7,3.0
3353,480,Non-binary,79.0,4.0
3360,481,Male,73.4,3.0
3367,482,Female,76.6,4.0
3374,483,Female,82.4,6.0
3381,484,Female,79.9,4.0
3388,485,Male,83.0,4.0
3395,486,Female,81.7,6.0
3402,487,Female,78.9,4.0
3409,488,Male,80.6,5.0
3416,489,Male,81.4,4.0
3423,490,Male,80.7,4.0
3430,491,Female,77.1,4.0
3437,492,Male,80.0,5.0
3444,493,Male,83.4,5.0
3451,494,Male,82.0,6.0
3458,495,Female,79.0,4.0
3465,496,Male,82.0,5.0
3472,497,Male,85.1,6.0
3479,498,Genderqueer,82.4,6.0
3486,499,Female,80.9,5.0
3493,500,Female,74.6,3.0
3500,501,Female,75.7,3.0
3507,502,Male,84.3,5.0
3514,503,Female,73.6,4.0
3521,504,Genderqueer,85.6,5.0
3528,505,Male,79.0,4.0
3535,506,Male,82.7,4.0
3542,507,Male,77.3,3.0
3549,508,Male,82.3,5.0
3556,509,Male,76.4,3.0
3563,510,Female,82.6,5.0
3570,511,Female,82.6,5.0
3577,512,Female,77.6,4.0
3584,513,Female,77.4,4.0
3591,514,Female,73.0,2.0
3598,515,Female,88.6,6.0
3605,516,Female,84.1,6.0
3612,517,Male,74.9,4.0
3619,518,Female,72.3,2.0
3626,519,Female,82.3,6.0
3633,520,Female,71.0,1.0
3640,521,Female,67.4,1.0
3647,522,Polygender,73.3,2.0
3654,523,Female,84.7,5.0
3661,524,Male,73.0,3.0
3668,525,Bigender,80.1,5.0
3675,526,Male,81.1,4.0
3682,527,Female,77.4,4.0
3689,528,Female,87.1,5.0
3696,529,Female,83.1,5.0
3703,530,Female,84.9,5.0
3710,531,Male,83.1,5.0
3717,532,Genderfluid,83.1,4.0
3724,533,Genderqueer,84.4,4.0
3731,534,Female,77.4,4.0
3738,535,Male,79.9,5.0
3745,536,Male,80.6,5.0
3752,537,Female,78.1,5.0
3759,538,Male,83.9,5.0
3766,539,Agender,86.0,6.0
3773,540,Male,71.0,2.0
3780,541,Female,83.6,5.0
3787,542,Female,70.3,1.0
3794,543,Female,77.3,2.0
3801,544,Female,87.9,6.0
3808,545,Agender,73.6,4.0
3815,546,Male,84.6,5.0
3822,547,Female,85.1,5.0
3829,548,Female,77.3,3.0
3836,549,Male,81.9,5.0
3843,550,Male,87.0,5.0
3850,551,Male,87.6,6.0
3857,552,Female,76.3,4.0
3864,553,Female,80.6,4.0
3871,554,Female,77.6,3.0
3878,555,Female,80.3,5.0
3885,556,Male,81.9,5.0
3892,557,Male,80.6,4.0
3899,558,Male,86.4,6.0
3906,559,Male,85.9,5.0
3913,560,Female,83.1,7.0
3920,561,Female,75.6,4.0
3927,562,Male,81.3,4.0
3934,563,Polygender,82.0,7.0
3941,564,Male,74.9,2.0
3948,565,Male,85.0,7.0
3955,566,Male,77.6,4.0
3962,567,Male,77.6,4.0
3969,568,Male,74.7,2.0
3976,569,Male,76.4,4.0
3983,570,Female,76.4,4.0
3990,571,Female,79.0,4.0
3997,572,Female,84.4,6.0
4004,573,Female,79.3,4.0
4011,574,Male,79.9,4.0
4018,575,Female,77.4,6.0
4025,576,Female,76.1,3.0
4032,577,Male,83.1,5.0
4039,578,Female,88.0,7.0
4046,579,Female,79.9,5.0
4053,580,Female,71.7,3.0
4060,581,Agender,85.9,5.0
4067,582,Female,85.7,6.0
4074,583,Male,76.3,3.0
4081,584,Genderqueer,79.4,5.0
4088,585,Male,82.6,6.0
4095,586,Male,79.6,4.0
4102,587,Male,79.7,5.0
4109,588,Male,74.9,2.0
4116,589,Male,79.9,4.0
4123,590,Female,77.6,3.0
4130,591,Genderfluid,82.6,5.0
4137,592,Female,81.7,5.0
4144,593,Male,76.0,3.0
4151,594,Female,79.6,4.0
4158,595,Female,79.3,4.0
4165,596,Male,71.1,1.0
4172,597,Male,83.0,5.0
4179,598,Female,77.6,4.0
4186,599,Female,85.4,6.0
4193,600,Female,88.6,6.0
4200,601,Male,86.1,6.0
4207,602,Male,83.3,5.0
4214,603,Non-binary,69.4,1.0
4221,604,Female,80.3,5.0
4228,605,Male,84.0,5.0
4235,606,Male,81.7,5.0
4242,607,Female,83.3,5.0
4249,608,Male,85.0,4.0
4256,609,Female,86.9,6.0
4263,610,Male,77.4,4.0
4270,611,Female,74.9,3.0
4277,612,Female,75.9,4.0
4284,613,Male,68.7,1.0
4291,614,Male,80.0,5.0
4298,615,Bigender,72.1,2.0
4305,616,Female,80.4,4.0
4312,617,Female,79.7,5.0
4319,618,Female,77.0,4.0
4326,619,Female,78.7,5.0
4333,620,Male,82.9,6.0
4340,621,Male,76.3,4.0
4347,622,Male,80.1,6.0
4354,623,Male,74.1,4.0
4361,624,Polygender,89.3,6.0
4368,625,Female,82.6,5.0
4375,626,Female,87.0,6.0
4382,627,Female,83.4,6.0
4389,628,Male,81.0,3.0
4396,629,Female,77.0,3.0
4403,630,Female,81.1,5.0
4410,631,Genderfluid,82.6,4.0
4417,632,Male,79.4,4.0
4424,633,Polygender,79.6,5.0
4431,634,Polygender,86.4,6.0
4438,635,Male,83.4,4.0
4445,636,Female,74.7,3.0
4452,637,Male,81.9,6.0
4459,638,Agender,80.0,6.0
4466,639,Male,84.3,6.0
4473,640,Male,81.3,4.0
4480,641,Male,83.6,6.0
4487,642,Male,81.0,5.0
4494,643,Female,84.9,5.0
4501,644,Male,75.3,4.0
4508,645,Female,84.9,6.0
4515,646,Genderqueer,78.4,4.0
4522,647,Male,75.1,3.0
4529,648,Bigender,83.3,6.0
4536,649,Female,78.1,3.0
4543,650,Female,84.0,6.0
4550,651,Bigender,82.7,4.0
4557,652,Male,74.7,4.0
4564,653,Genderfluid,79.0,5.0
4571,654,Female,87.3,6.0
4578,655,Female,74.1,3.0
4585,656,Polygender,81.0,4.0
4592,657,Female,85.0,5.0
4599,658,Genderqueer,82.6,4.0
4606,659,Female,83.1,4.0
4613,660,Female,84.1,6.0
4620,661,Female,81.9,5.0
4627,662,Polygender,75.3,2.0
4634,663,Male,74.4,2.0
4641,664,Male,76.3,4.0
4648,665,Male,79.6,6.0
4655,666,Female,80.1,4.0
4662,667,Female,75.1,3.0
4669,668,Male,81.0,4.0
4676,669,Male,87.7,6.0
4683,670,Female,73.3,4.0
4690,671,Female,81.0,5.0
4697,672,Female,85.0,7.0
4704,673,Female,77.9,5.0
4711,674,Male,76.4,4.0
4718,675,Female,77.4,3.0
4725,676,Female,76.0,3.0
4732,677,Female,84.1,7.0
4739,678,Female,79.3,5.0
4746,679,Female,81.1,5.0
4753,680,Female,86.9,6.0
4760,681,Female,75.7,4.0
4767,682,Polygender,71.0,2.0
4774,683,Female,79.4,4.0
4781,684,Female,86.9,6.0
4788,685,Male,72.0,2.0
4795,686,Female,74.6,3.0
4802,687,Female,89.6,6.0
4809,688,Male,79.1,5.0
4816,689,Agender,76.9,4.0
4823,690,Female,74.4,3.0
4830,691,Male,82.4,4.0
4837,692,Female,77.9,5.0
4844,693,Female,89.1,6.0
4851,694,Genderqueer,82.4,6.0
4858,695,Agender,79.7,4.0
4865,696,Female,76.4,4.0
4872,697,Female,78.0,4.0
4879,698,Female,76.9,3.0
4886,699,Female,73.1,2.0
4893,700,Female,81.4,5.0
4900,701,Female,73.7,4.0
4907,702,Female,88.6,7.0
4914,703,Female,75.6,3.0
4921,704,Male,75.4,3.0
4928,705,Male,82.9,6.0
4935,706,Male,81.0,5.0
4942,707,Male,80.6,5.0
4949,708,Female,75.0,3.0
4956,709,Male,77.3,3.0
4963,710,Female,82.3,4.0
4970,711,Female,77.9,3.0
4977,712,Male,79.9,4.0
4984,713,Male,78.7,5.0
4991,714,Female,75.0,3.0
4998,715,Male,85.9,5.0
5005,716,Male,78.6,3.0
5012,717,Female,77.9,3.0
5019,718,Male,82.4,5.0
5026,719,Female,74.3,3.0
5033,720,Male,82.9,5.0
5040,721,Genderqueer,85.3,7.0
5047,722,Female,76.0,5.0
5054,723,Female,70.9,1.0
5061,724,Male,83.3,6.0
5068,725,Polygender,84.4,6.0
5075,726,Male,76.4,4.0
5082,727,Female,76.0,3.0
5089,728,Male,83.1,6.0
5096,729,Male,75.4,3.0
5103,730,Male,68.7,2.0
5110,731,Female,80.9,4.0
5117,732,Male,80.9,5.0
5124,733,Male,79.6,3.0
5131,734,Female,74.0,4.0
5138,735,Female,82.6,4.0
5145,736,Female,85.1,5.0
5152,737,Male,75.0,3.0
5159,738,Female,80.7,5.0
5166,739,Male,79.9,5.0
5173,740,Female,85.6,5.0
5180,741,Female,77.6,5.0
5187,742,Female,84.7,5.0
5194,743,Female,75.7,3.0
5201,744,Female,80.6,5.0
5208,745,Male,81.7,5.0
5215,746,Polygender,79.3,4.0
5222,747,Female,75.7,4.0
5229,748,Male,76.6,3.0
5236,749,Female,82.0,6.0
5243,750,Female,76.3,4.0
5250,751,Male,75.7,3.0
5257,752,Male,74.1,3.0
5264,753,Male,81.1,4.0
5271,754,Male,84.0,6.0
5278,755,Male,75.7,5.0
5285,756,Female,80.4,5.0
5292,757,Female,77.9,5.0
5299,758,Male,77.9,3.0
5306,759,Female,77.4,4.0
5313,760,Female,83.0,5.0
5320,761,Male,79.3,4.0
5327,762,Male,77.6,4.0
5334,763,Female,78.9,4.0
5341,764,Female,91.3,7.0
5348,765,Polygender,73.9,4.0
5355,766,Female,86.1,5.0
5362,767,Female,75.7,3.0
5369,768,Female,80.4,5.0
5376,769,Male,83.0,4.0
5383,770,Male,82.6,6.0
5390,771,Female,77.3,5.0
5397,772,Female,74.6,3.0
5404,773,Female,80.1,5.0
5411,774,Male,73.0,3.0
5418,775,Bigender,80.3,5.0
5425,776,Genderqueer,77.0,3.0
5432,777,Male,83.4,7.0
5439,778,Female,74.6,4.0
5446,779,Male,77.1,3.0
5453,780,Male,80.3,4.0
5460,781,Female,77.7,4.0
5467,782,Female,85.9,7.0
5474,783,Female,74.4,3.0
5481,784,Male,83.9,5.0
5488,785,Male,73.6,3.0
5495,786,Female,78.9,3.0
5502,787,Female,80.0,5.0
5509,788,Female,81.9,5.0
5516,789,Male,77.6,3.0
5523,790,Male,81.7,5.0
5530,791,Female,83.4,6.0
5537,792,Female,87.4,6.0
5544,793,Male,76.4,4.0
5551,794,Male,73.3,2.0
5558,795,Female,80.6,4.0
5565,796,Male,79.4,5.0
5572,797,Female,76.4,3.0
5579,798,Male,78.4,6.0
5586,799,Male,85.6,6.0
5593,800,Female,76.4,4.0
5600,801,Female,74.7,3.0
5607,802,Female,83.4,6.0
5614,803,Agender,88.7,6.0
5621,804,Male,72.1,3.0
5628,805,Male,74.3,4.0
5635,806,Genderqueer,79.4,4.0
5642,807,Male,79.6,5.0
5649,808,Female,93.0,7.0
5656,809,Female,87.1,6.0
5663,810,Male,80.1,4.0
5670,811,Male,78.3,5.0
5677,812,Female,75.3,3.0
5684,813,Male,75.6,3.0
5691,814,Male,78.1,4.0
5698,815,Agender,80.6,4.0
5705,816,Female,84.3,5.0
5712,817,Female,78.7,4.0
5719,818,Male,80.3,6.0
5726,819,Female,78.4,4.0
5733,820,Female,74.6,2.0
5740,821,Agender,80.1,4.0
5747,822,Male,81.1,5.0
5754,823,Female,83.1,6.0
5761,824,Male,79.6,5.0
5768,825,Male,75.0,3.0
5775,826,Male,79.4,4.0
5782,827,Female,79.3,3.0
5789,828,Female,82.3,5.0
5796,829,Male,82.7,6.0
5803,830,Female,81.9,5.0
5810,831,Female,83.1,5.0
5817,832,Female,78.3,3.0
5824,833,Female,88.7,6.0
5831,834,Male,82.0,5.0
5838,835,Male,78.6,4.0
5845,836,Female,77.4,3.0
5852,837,Female,88.1,7.0
5859,838,Male,83.4,5.0
5866,839,Female,91.1,7.0
5873,840,Female,79.1,5.0
5880,841,Female,83.6,5.0
5887,842,Male,80.9,5.0
5894,843,Female,81.9,5.0
5901,844,Male,86.4,5.0
5908,845,Female,84.7,5.0
5915,846,Female,88.4,7.0
5922,847,Female,82.1,6.0
5929,848,Female,76.7,5.0
5936,849,Polygender,81.4,5.0
5943,850,Male,82.9,6.0
5950,851,Female,69.1,2.0
5957,852,Female,80.7,4.0
5964,853,Female,77.7,4.0
5971,854,Female,77.3,4.0
5978,855,Male,88.7,6.0
5985,856,Male,79.7,4.0
5992,857,Female,86.0,6.0
5999,858,Male,75.0,5.0
6006,859,Male,77.1,4.0
6013,860,Genderfluid,79.4,5.0
6020,861,Female,82.7,5.0
6027,862,Female,79.3,6.0
6034,863,Female,86.6,7.0
6041,864,Female,82.7,5.0
6048,865,Male,84.9,5.0
